Project Name,Test-Run,Test-Case,Status,TC-Defect
OmniStack,Deployment Manager GUI Specific (Team Panther),Verify that other clients (DM instances) cannot use the same host once DI lock will applied on it.,Untested,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),"Verify that DI state will not be reset to ""Waiting to be discovered"", if user kills DM via the task manager.",Untested,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),"Verify that DI lock will not release from the host when user navigates to previous few pages using ""Back"" button and return back to ""Test Host Settings"" screen without making any configuration changes.",Untested,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),OMNI-18953-TCS.8,Passed,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),OMNI-18953-TCS.2,Passed,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),Verify that DI lock is released when Deployment Manager shuts down properly.,Untested,NA
OmniStack,Deployment Manager GUI Specific (Team Panther),Verify that DI lock is released when Deployment Manager is shut down.,Untested,NA
OmniStack,PSI 6 Sprint 3 - Data Protection Test Plan,OMNI-440-Vss_Bkups-v3.5-001-SimpliVityMove,Untested,NA
OmniStack,PSI 6 Sprint 3 - Data Protection Test Plan,OMNI-440-Vss_Bkups-v3.5-002-ForceOwnershipChange,Untested,NA
OmniStack,PSI 6 Sprint 3 - Data Protection Test Plan,OMNI-1264-Vss_Bkups-v3.5-002-Validate-retry-on-restart,Untested,NA
OmniStack,PSI 6 Sprint 3 - Data Protection Test Plan,HIM-11518-Vss_Bkups-v3.5-004-Vm_PoweredOff,Passed,NA
OmniStack,PSI 6 Sprint 3 - Data Protection Test Plan,HIM-11518-Vss_Bkups-v3.5-005-Bad_Password,Passed,NA
OmniStack,PSI 6 Sprint 3 - Data Protection Test Plan,HIM-11518-Vss_Bkups-v3.5-002-Man_Rem_Vss,Passed,NA
OmniStack,PSI 6 Sprint 3 - Data Protection Test Plan,HIM-11518-Vss_Bkups-v3.5-003-Pol_Vss,Passed,NA
OmniStack,PSI 6 Sprint 3 - Data Protection Test Plan,HIM-HIM-14448-Vss_Bkups-v3.5-001-Shadow_Copy_Disabled,Passed,NA
OmniStack,PSI 6 Sprint 3 - Data Protection Test Plan,OMNI-1264-Vss_Bkups-v3.5-010-Valid-Credentials-Replication,Untested,NA
OmniStack,PSI 6 Sprint 3 - Data Protection Test Plan,OMNI-17357-Vss_Bkups-v3.5-001-Credentials_Replicated_For_Added_Node,Untested,NA
OmniStack,PSI 6 Sprint 3 - Data Protection Test Plan,OMNI-1264-Vss_Bkups-v3.5-003-Credentials_Replicates_When_Nodes_Come_Online,Untested,NA
OmniStack,PSI 6 Sprint 3 - Data Protection Test Plan,HIM-11518-Vss_Bkups-v3.5-006-No_Vmware_Tools,Blocked,NA
OmniStack,PSI 6 Sprint 3 - Data Protection Test Plan,OMNI-1264-Vss_Bkups-v3.5-001-Password-change,Untested,NA
OmniStack,PSI 6 Sprint 3 - Data Protection Test Plan,HIM-11518-Vss_Bkups-v3.5-001-Man_Local_Vss,Passed,NA
OmniStack,PSI 6 Sprint 3 - Data Protection Test Plan,OMNI-440-Vss_Bkups-v3.5-003-SimpliVity move,Untested,NA
OmniStack,PSI 9 Sprint 3 Security,Security-FIPS-004_FIPS/CC Integration Testing_Hyperv FIPS check with kerberos,Untested,NA
OmniStack,PSI 9 Sprint 3 Security,Security-FIPS-010_[FIPS]Restrict Algorithms Exposed by Crypto Module_ECDSA P-224 is disabled with FIPS on,Untested,NA
OmniStack,PSI 9 Sprint 3 Security,Security-FIPS-011_FIPS/CC Integration Testing_web client support cap with FIPS enabled,Untested,NA
OmniStack,PSI 9 Sprint 3 Security,Security-FIPS-005_FIPS Mode Command Line_dsv-fipsmode on/off on Java (Bouncy Castle),Untested,NA
OmniStack,PSI 9 Sprint 3 Security,Security-Kerberos-004-Termination of Kerberos OVC Sessions-forced logout,Untested,NA
OmniStack,PSI 9 Sprint 3 Security,Security-FIPS-009_FIPS/CC Integration Testing_svt-vm-backup with FIPS enabled,Untested,NA
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-2677:Deployment:Storage+Fed MTU Validation-v3.6.2-TDS.001,Passed,NA
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-3070:Deployment:Management MTU Validation-v3.6.2-TDS.009,Untested,NA
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-2677:Deployment:Storage+Fed MTU Validation-v3.6.2-TDS.007,Passed,NA
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-2677:Deployment:Storage+Fed MTU Validation-v3.6.2-TDS.012,Failed,OMNI-27473
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-2677:Deployment:Storage+Fed MTU Validation-v3.6.2-TDS.012,Failed,
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-2677:Deployment:Storage+Fed MTU Validation-v3.6.2-TDS.012,Failed,
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-3070:Deployment:Management MTU Validation-v3.6.2-TDS.003,Passed,NA
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-2677:Deployment:Storage+Fed MTU Validation-v3.6.2-TDS.004,Passed,NA
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-3070:Deployment:Management MTU Validation-v3.6.2-TDS.013,Untested,NA
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-3070:Deployment:Management MTU Validation-v3.6.2-TDS.016,Failed,OMNI-27373
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-2677:Deployment:Storage+Fed MTU Validation-v3.6.2-TDS.009,Failed,OMNI-27440
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-2677:Deployment:Storage+Fed MTU Validation-v3.6.2-TDS.009,Failed,
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-2677:Deployment:Storage+Fed MTU Validation-v3.6.2-TDS.009,Failed,
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-3070:Deployment:Management MTU Validation-v3.6.2-TDS.015,Untested,NA
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-2677:Deployment:Storage+Fed MTU Validation-v3.6.2-TDS.014,Passed,NA
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-2677:Deployment:Storage+Fed MTU Validation-v3.6.2-TDS.013,Failed,
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-2677:Deployment:Storage+Fed MTU Validation-v3.6.2-TDS.013,Failed,
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-2677:Deployment:Storage+Fed MTU Validation-v3.6.2-TDS.013,Failed,
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-3070:Deployment:Management MTU Validation-v3.6.2-TDS.008,Failed,"OMNI-27777, OMNI-27782"
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-3070:Deployment:Management MTU Validation-v3.6.2-TDS.007,Passed,NA
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-3070:Deployment:Management MTU Validation-v3.6.2-TDS.011,Untested,NA
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-3070:Deployment:Management MTU Validation-v3.6.2-TDS.001,Passed,NA
OmniStack,PSI8 Sprint 4 Deployment (Parachute),OMNI-3070:Deployment:Management MTU Validation-v3.6.2-TDS.012,Untested,NA
